Unique Values,Counts
0.0,51
4.131377721000001,1
0.46284095280000004,1
3.3618493139999996,1
0.006466554023,1
0.4797926724,1
0.017323269159999998,1
0.0018377223980000001,1
0.001057196124,1
0.004226031863,1
0.0006764224047000001,1
0.09771106738,1
0.0008858484767999999,1
8.843161774e-06,1
0.001462977009,1
0.4681662979,1
3.8325424189999997,1
0.4880560142,1
0.001581075731,1
0.01635539631,1
0.5347493222,1
0.0015707923989999998,1
0.001203216375,1
0.000836780224,1
0.3295319755,1
0.022741584080000002,1
0.005281163118000001,1
7.624060875,1
3.381517974,1
0.004502429851,1
0.001150474729,1
1.905203992,1
44.903608608,1
0.003558410576,1
0.001434159802,1
0.2114499812,1
0.001172064654,1
0.006401198693000001,1
0.001396540166,1
9.918212891e-05,1
0.006460340836,1
0.05795891836,1
0.0008919342874,1
1.277345581e-05,1
0.005967982008,1
0.0036218257089999997,1
0.002831298725,1
6.866455078e-05,1
0.004763211632,1
0.005209222411,1
