Unique Values,Counts
SC-0000000148,3
SC-0000000210,2
SC-0000000463,2
SC-0000000551,2
SC-0000000254,2
SC-0000000206,2
SC-0000000679,2
SC-0000000242,2
SC-0000000411,2
Others,2
