Unique Values,Counts
2022-02-24 00:00:00,20
2022-04-17 00:00:00,9
2022-03-16 00:00:00,8
2021-12-21 00:00:00,7
2022-03-04 00:00:00,6
2022-03-08 00:00:00,5
2022-04-14 00:00:00,5
2022-05-05 00:00:00,4
2022-01-24 00:00:00,4
Others,4
