Unique Values,Counts
OI-0000000209,2
OI-0000000316,2
OI-0000000781,2
OI-0000000267,2
OI-0000000498,2
OI-0000000434,1
OI-0000000785,1
OI-0000000819,1
OI-0000000340,1
Others,1
