Unique Values,Counts
IC-0000000123,20
IC-0000000120,16
IC-0000000126,9
IC-0000000350,9
IC-0000000160,8
IC-0000000215,8
IC-0000000302,7
IC-0000000456,5
IC-0000000419,5
Others,4
