Unique Values,Counts
sprint.mnc060.mcc901.gprs,30
cbh.customer.mnc060.mcc901.gprs,29
pdi.ba.mnc060.mcc901.gprs,13
trustcomm.ba.mnc060.mcc901.gprs,7
owt.ipa.mnc060.mcc901.gprs,7
ast.ba.mnc060.mcc901.gprs,2
acs.ba.mnc060.mcc901.gprs,2
galaxy.ipa.mnc060.mcc901.gprs,1
marlink.ipa.mnc060.mcc901.gprs,1
