Unique Values,Counts
DP-EC-0000046,21
DP-EC-0000044,12
DP-EC-0000305,9
DP-EC-0000045,5
DP-EC-0000021,5
DP-EC-0000321,4
DP-EC-0000271,4
DP-EC-0000072,4
DP-EC-0000126,3
Others,2
