Unique Values,Counts
NS-0000000125,20
NS-0000000122,16
NS-0000000128,9
NS-0000000349,9
NS-0000000217,8
NS-0000000162,8
NS-0000000304,7
NS-0000000455,5
NS-0000000421,5
Others,4
