Unique Values,Counts
OneWeb,35
One Web,12
ORD-76450-X2M2K0,9
OWT-DP1,5
SIX,4
NorthwesTel training & demo system,3
Marlink AS,2
AST,2
Softbank Komatsu,2
Others,2
