Unique Values,Counts
ACC-DP-0000546,51
ACC-DP-0000225,24
ACC-DP-0000549,21
ACC-DP-0000319,20
ACC-DP-0000341,16
ACC-DP-0000548,12
ACC-DP-0000679,4
ACC-DP-0000595,4
ACC-DP-0000042,3
Others,3
